A
Chang,Leslie T.	张彤禾
Chang, Michael G.	张勉治
Chang, Parris Hsu-cheng	张旭成
Chang, Richard I-feng	张一峰
Chang, Shelley Hsueh-lun	骆雪伦
Chang, The-kuang	张德光
Chang, Tsong-zung	张颂仁
 
Chang, Yvonne	张颂圣
Chantal, Chen-Andro	尚德兰
Chantasasawat, Busakorn	曾金燕
Chao, Emily	赵省华
Chao, Kang	赵冈
Chao, Kang	赵康
Chao, Rulan（又作 Rulan Chao Pian）	赵如兰 
Chao, Shin-yi	赵昕毅
Chao, Yuan-ling	赵元玲
Chao, Yuen Ren	赵元任
Charignon, Antoine Henry Joseph	沙海昂
Chau, Adam	周越
Chavannes, Edouard	沙畹
Chaves, Jonathan	齐皎瀚
Cheek, Timothy	齐慕实
Chen, Chih-jou Jay	陈志柔
Chen, Chi-yun	陈启云
Chen, David Y.	陈颖
Chen, Ellen Maric	陈张婉莘
Chen, Fan Pen Li	李凡平
Chen, Frederick Tse-shyang	陈子祥
Chen, Fu-yen	陈富彦
Chen, Hsuan-Chih	陈烜之
Chen, Huaiyu	陈怀宇
Chen, Jack W.	陈威
Chen, Janet Y.	陈怡君
Chen, Jian	陈兼
Chen, Jie	陈杰
 
Chen, Jinhua	陈金华
Chen, Jo-shui	陈弱水
Chen, Joseph C.Y.	程贞一
Chen, Joseph Tao	陈真道
Chen, Kenneth K. S.	陈观胜
Chen, King C.	陈庆芝
Chen, Kuang-Hui	陈光辉
Chen, Li-li	陈荔荔
Chen, Matthew Y.	陈渊泉
Chen, Nai-ruenn	陈乃润
Chen, Pi-chao	陈辟朝
Chen, Ping	陈平
Chen, Sanping	陈三平
Chen, Shih-hsiang	陈世骧
Chen, Su	陈肃
Chen, Shuang	陈爽
Chen, Song	陈松
Chen, Weixing	陈卫星
Chen, William Ching-Chi	陈靖奇
Chen, Xi	陈晰
Chen, Xiaomei	陈小眉
Chen, Yong	陈勇
Chen, Yiu Por（又作Vincent Chen）	陈耀波
Chen, Zhi	陈致
Chen, Zhiwu	陈志武
Chen, Zu-yan	陈祖言
Cheng, Anne	程艾兰
Cheng, Bonnie	郑如珀
 
Cheng, François（又作Cheng Chi-hsien）	程抱一（又作程纪贤） 
Cheng, Chin-chuan	郑锦全
Cheng, Chu-yuan	郑竹园
Cheng, Chung-ying	成中英
Cheng, Dean	成斌
Cheng, Hong	程洪
Cheng, Hsi	程熙
Cheng, J. Chester	郑喆希
Cheng, James K.	郑炯文
Cheng, Jim	程健
Cheng, Lisa	郑乃姗
Cheng, Pei-kai	郑培凯
Cheng, Peter P.C.	陈炳杞
Cheng, Ronald Ye-lin	郑怡林
Cheng, Te-k’un	郑德坤
Cheng, Tiejun	程铁军
Cheng, Yinghong	程映虹
Cheng, Yu-yin	程玉茵
Chennault, Cynthia L.	陈美丽
Cheung, Ping-Cheung	张炳祥
Cheung, Tai Ming	张大铭
Chew, Eng	邱永强
Chi, Wan-hsian	齐婉先
Chia, Lucille	贾晋珠
Chia, Ning	贾宁
Chiang, Sing-chen Lydia	蔣兴珍
Chiang, Wen-yu	江文瑜
Chien, Cecilia Lee-fang	钱立方
Chien, Edward T.	钱新祖
 
Chikusa, Masaaki	竺沙雅章
Childs-Johnson, Elizabeth	江伊莉
