,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,count
683,Weiqun Dai,Dai,Weiqun,戴為群,戴为群,戴為羣,,,Dai, Weiqun,1
3888,Joseph Dennis,Dennis,Joseph,戴思哲,戴思哲,戴思哲,,,Dennis, Joseph,1
736,Joe Dennis,Dennis,Joe,戴思哲,戴思哲,戴思哲,,,Dennis, Joe,1
2381,Jean C. Oi,Oi,Jean C.,戴慕珍,戴慕珍,戴慕珍,,,Oi, Jean C.,1
4204,Jean Oi,Oi,Jean,戴慕珍,戴慕珍,戴慕珍,,,Oi, Jean,1
3887,Jacques deLisle,deLisle,Jacques,戴杰,戴杰,戴傑,,,deLisle, Jacques,1
726,Jacques Delisle,Delisle,Jacques,戴傑,戴杰,戴傑,,,Delisle, Jacques,1
3897,J. J. L. Duyvendak,Duyvendak,J. J. L.,戴闻达,戴闻达,戴聞達,,,Duyvendak, J. J. L.,1
808,J.J.L. Duyvendak,Duyvendak,J.J.L.,戴聞達,戴闻达,戴聞達,,,Duyvendak, J.J.L.,1
3200,Richard Vinograd,Vinograd,Richard,文以誠,文以诚,文以誠,,,Vinograd, Richard,1
4366,Richard E. Vinograd,Vinograd,Richard E.,文以诚,文以诚,文以誠,,,Vinograd, Richard E.,1
4358,Paul Ulrich Unschuld,Unschuld,Paul Ulrich,文树德,文树德,文樹德,,,Unschuld, Paul Ulrich,1
3151,Paul Unschuld,Unschuld,Paul,文樹德,文树德,文樹德,,,Unschuld, Paul,1
4258,Robert Scalapino,Scalapino,Robert,施乐伯,施乐伯,施樂伯,,,Scalapino, Robert,1
2675,Robert Anthony Scalapino,Scalapino,Robert Anthony,施樂伯,施乐伯,施樂伯,,,Scalapino, Robert Anthony,1
2843,G. William Skinner,Skinner,G. William,施堅雅,施坚雅,施堅雅,,,Skinner, G. William,1
4297,G.William Skinner,Skinner,G.William,施坚雅,施坚雅,施堅雅,,,Skinner, G.William,1
3060,Stephan Thome,Thome,Stephan,施益堅,施益坚,施益堅,,,Thome, Stephan,1
2704,Stephan Schmidt,Schmidt,Stephan,施益堅,施益坚,施益堅,,,Schmidt, Stephan,1
2695,Kristofer Marinus Schipper,Schipper,Kristofer Marinus,施舟人,施舟人,施舟人,,,Schipper, Kristofer Marinus,1
4260,Kristofer Schipper,Schipper,Kristofer,施舟人,施舟人,施舟人,,,Schipper, Kristofer,1
2798,Chung-wen Shih,Shih,Chung-wen,時鍾雯,时钟雯,時鍾雯,,,Shih, Chung-wen,1
4287,Chung-wen Shih,Shih,Chung-wen,时钟雯,时钟雯,時鐘雯,,,Shih, Chung-wen,1
2852,Arthur H. Smith,Smith,Arthur H.,明恩溥,明恩溥,明恩溥,,,Smith, Arthur H.,1
4298,Arthur Henderson Smith,Smith,Arthur Henderson,明恩溥,明恩溥,明恩溥,,,Smith, Arthur Henderson,1
3898,Lloyd E. Eastman,Eastman,Lloyd E.,易劳逸,易劳逸,易勞逸,,,Eastman, Lloyd E.,1
811,Lloyd E. O. Eastman,Eastman,Lloyd E. O.,易勞逸,易劳逸,易勞逸,,,Eastman, Lloyd E. O.,1
3905,Charles Egan,Egan,Charles,易彻理,易彻理,易徹理,,,Egan, Charles,1
830,Charles Egan,Egan,Charles,易徹理,易彻理,易徹理,,,Egan,Charles,1
829,Robert Efird,Efird,Robert,易若鵬,易若鹏,易若鵬,,,Efird,Robert,1
3903,Robert Efird,Efird,Robert,易若鹏,易若鹏,易若鵬,,,Efird, Robert,1
4348,Pen-yeh Tsao,Tsao,Pen-yeh,曹本冶,曹本冶,曹本冶,,,Tsao, Pen-yeh,1
3115,Pen-yeh Tsao,Tsao,Pen-yeh,曹本冶,曹本冶,曹本冶,,,Tsao,Pen-yeh,1
4090,James Lee,Lee,James,李中清,李中清,李中清,,,Lee, James,1
1788,James Z. Lee,Lee,James Z.,李中清,李中清,李中清,,,Lee, James Z.,1
1767,Marco Lazzarotti,Lazzarotti,Marco,李克,李克,李克,,,Lazzarotti, Marco,1
3988,Rick Harbaugh,Harbaugh,Rick,李克,李克,李克,,,Harbaugh, Rick,1
2582,W. Allyn Rickett,Rickett,W. Allyn,李克,李克,李克,,,Rickett, W. Allyn,1
2582,W. Allyn Rickett,Rickett,W. Allyn,李克,李克,李克,,,Rickett, W. Allyn,1
1851,Dore Levy,Levy,Dore,李德瑞,李德瑞,李德瑞,,,Levy, Dore,1
4106,Dore J. Levy,Levy,Dore J.,李德瑞,李德瑞,李德瑞,,,Levy, Dore J.,1
4116,Tze-chung Li,Li,Tze-chung,李志钟,李志钟,李志鍾,,,Li, Tze-chung,1
1886,Tze-chung Li,Li,Tze-chung,李志鐘,李志钟,李志鐘,,,Li, Tze-chung,1
1870,Huai-yin Li,Li,Huai-yin,李懷印,李怀印,李懷印,,,Li, Huai-yin,1
4109,Huaiyin Li,Li,Huaiyin,李怀印,李怀印,李懷印,,,Li, Huaiyin,1
3901,Louise P. Edwards,Edwards,Louise P.,李木兰,李木兰,李木蘭,,,Edwards, Louise P.,1
826,Louise P. Edwards,Edwards,Louise P.,李木蘭,李木兰,李木蘭,,,Edwards,Louise P.,1
4092,Leo Ou-fan Lee,Lee,Leo Ou-fan,李欧梵,李欧梵,李歐梵,,,Lee, Leo Ou-fan,1
1794,Leo Ou-Fan Lee,Lee,Leo Ou-Fan,李歐梵,李欧梵,李歐梵,,,Lee, Leo Ou-Fan,1
1815,Yokshiu F. Lee,Lee,Yokshiu F.,李煜紹,李煜绍,李煜紹,,,Lee, Yokshiu F.,1
4095,Yokshiu F Lee,Lee,Yokshiu F,李煜绍,李煜绍,李煜紹,,,Lee, Yokshiu F,1
56,Sare Arecanli,Arecanli,Sare,李瑞,李瑞,李瑞,,,Arecanli, Sare,1
1849,Ari Daniel Levine,Levine,Ari Daniel,李瑞,李瑞,李瑞,,,Levine, Ari Daniel,1
4121,Louis Ligeti,Ligeti,Louis,李盖提,李盖提,李蓋提,,,Ligeti, Louis,1
1919,Louis Ligeti,Ligeti,Louis,李蓋提,李盖提,李蓋提,,,Ligeti,Louis,1
4107,Audrey Y.H. Li,Li,Audrey Y.H.,李艳惠,李艳惠,李豔惠,,,Li, Audrey Y.H.,1
1854,Audrey Y.H. Li,Li,Audrey Y.H.,李艷惠,李艳惠,李艷惠,,,Li, Audrey Y.H.,1
1897,Yen-hui Audrey Li,Li,Yen-hui Audrey,李艷惠,李艳惠,李艷惠,,,Li, Yen-hui Audrey,1
1897,Yen-hui Audrey Li,Li,Yen-hui Audrey,李艷惠,李艳惠,李艷惠,,,Li, Yen-hui Audrey,1
3893,Thomas DuBois,DuBois,Thomas,杜博思,杜博思,杜博思,,,DuBois, Thomas,1
794,Thomas David DuBois,DuBois,Thomas David,杜博思,杜博思,杜博思,,,DuBois, Thomas David,1
747,Kenneth DeWoskin,DeWoskin,Kenneth,杜志豪,杜志豪,杜志豪,,,DeWoskin, Kenneth,1
3884,Kenneth De Woskin,De Woskin,Kenneth,杜志豪,杜志豪,杜志豪,,,De Woskin, Kenneth,1
805,Stephen W. Durrant,Durrant,Stephen W.,杜潤德,杜润德,杜潤德,,,Durrant, Stephen W.,1
3896,Stephen W. Durant,Durant,Stephen W.,杜润德,杜润德,杜潤德,,,Durant, Stephen W.,1
1049,Dru C. Gladney,Gladney,Dru C.,杜磊,杜磊,杜磊,,,Gladney, Dru C.,1
3959,Dru Gladney,Gladney,Dru,杜磊,杜磊,杜磊,,,Gladney, Dru,1
3137,Lien-che Tu,Tu,Lien-che,杜聯喆,杜联喆,杜聯喆,,,Tu,Lien-che,1
4355,Lien-che Tu,Tu,Lien-che,杜联喆,杜联喆,杜聯喆,,,Tu, Lien-che,1
4437,Daniel Shih-p’eng Yang,Yang,Daniel Shih-p’eng,杨世彭,杨世彭,楊世彭,,,Yang, Daniel Shih-p’eng,1
3533,Daniel Shih-p'eng Yang,Yang,Daniel Shih-p'eng,楊世彭,杨世彭,楊世彭,,,Yang, Daniel Shih-p'eng,1
4436,C. K. Yang,Yang,C. K.,杨庆堃,杨庆堃,楊慶堃,,,Yang, C. K.,1
3530,C.K. Yang,Yang,C.K.,楊慶堃,杨庆堃,楊慶堃,,,Yang, C.K.,1
3529,Andrew N.D.（Nien-Chu Yang) Yang,Yang,Andrew N.D.（Nien-Chu Yang),楊念祖,杨念祖,楊念祖,,,Yang, Andrew N.D.(Nien-Chu Yang),1
4435,Andrew N.D. Yang,Yang,Andrew N.D.,杨念祖,杨念祖,楊念祖,Nien-Chu Yang,,Yang, Andrew N.D.,1
3543,Mayfair Mei-hui Yang,Yang,Mayfair Mei-hui,楊美惠,杨美惠,楊美惠,,,Yang, Mayfair Mei-hui,1
4441,Mayfair Yang,Yang,Mayfair,杨美惠,杨美惠,楊美惠,,,Yang, Mayfair,1
3542,Lien-sheng Yang,Yang,Lien-sheng,楊聯昇,杨联升,楊聯昇,,,Yang, Lien-sheng,1
4439,Lien-sheng Yang,Yang,Lien-sheng,杨联陞,杨联升,楊聯陞,,,Yang, Lien-sheng,1
4127,Perry Link,Link,Perry,林培瑞,林培瑞,林培瑞,,,Link, Perry,1
1969,E. Perry Link,Link,E. Perry,林培瑞,林培瑞,林培瑞,,,Link, E. Perry,1
4126,Yu-sheng Lin,Lin,Yu-sheng,林毓生,林毓生,林毓生,,,Lin, Yu-sheng,1
1955,Yusheng Lin,Lin,Yusheng,林毓生,林毓生,林毓生,,,Lin, Yusheng,1
1938,Man-Houng Lin,Lin,Man-Houng,林滿紅,林满红,林滿紅,,,Lin, Man-Houng,1
4124,Man-houng Lin,Lin,Man-houng,林满红,林满红,林滿紅,,,Lin, Man-houng,1
4158,Richard J. Lynn,Lynn,Richard J.,林理彰,林理彰,林理彰,,,Lynn, Richard J.,1
2108,Richard John Lynn,Lynn,Richard John,林理彰,林理彰,林理彰,,,Lynn, Richard John,1
3764,Stephen Bokenkamp,Bokenkamp,Stephen,柏夷,柏夷,柏夷,,,Bokenkamp, Stephen,1
209,Stephen R. Bokenkamp,Bokenkamp,Stephen R.,柏夷,柏夷,柏夷,,,Bokenkamp, Stephen R.,1
4064,William Kirby,Kirby,William,柯伟林,柯伟林,柯偉林,,,Kirby, William,1
1599,William C. Kirby,Kirby,William C.,柯偉林,柯伟林,柯偉林,,,Kirby, William C.,1
1697,Norman Kutcher,Kutcher,Norman,柯啟玄,柯启玄,柯啟玄,,,Kutcher, Norman,1
4075,Norman Alan Kutcher,Kutcher,Norman Alan,柯启玄,柯启玄,柯啓玄,,,Kutcher, Norman Alan,1
667,Pamela Kyle Crossley,Crossley,Pamela Kyle,柯嬌燕,柯娇燕,柯嬌燕,,,Crossley, Pamela Kyle,1
3871,Pamala K. Crossley,Crossley,Pamala K.,柯娇燕,柯娇燕,柯嬌燕,,,Crossley, Pamala K.,1
2126,Victor H. Mair,Mair,Victor H.,梅維恆,梅维恒,梅維恆,,,Mair, Victor H.,1
4164,Victor Mair,Mair,Victor,梅维恒,梅维恒,梅維恆,,,Mair, Victor,1
4176,Franz H. Michael,Michael,Franz H.,梅谷,梅谷,梅谷,,,Michael, Franz H.,1
2243,Franz Henry Michael,Michael,Franz Henry,梅谷,梅谷,梅谷,,,Michael, Franz Henry,1
1,Oded Abt,Abt,Oded,歐克德,欧克德,歐克德,,,Abt, Oded,1
2376,Abt Oded,Oded,Abt,歐克德,欧克德,歐克德,,,Oded, Abt,1
3912,Mark Elliot,Elliot,Mark,欧立德,欧立德,歐立德,,,Elliot, Mark,1
847,Mark C. Elliott,Elliott,Mark C.,歐立德,欧立德,歐立德,,,Elliott, Mark C.,1
58,R. David Arkush,Arkush,R. David,歐達偉,欧达伟,歐達偉,,,Arkush, R. David,1
3741,David Arkush,Arkush,David,欧达伟,欧达伟,歐達偉,,,Arkush, David,1
43,Tonio Andrade,Andrade,Tonio,歐陽泰,欧阳泰,歐陽泰,,,Andrade, Tonio,1
3737,Tonio Andrane,Andrane,Tonio,欧阳泰,欧阳泰,歐陽泰,,,Andrane, Tonio,1
3759,Jean François Billeter,Billeter,Jean François,毕来德,毕来德,畢來德,,,Billeter, Jean Francois,1
178,Jean-François Billeter,Billeter,Jean-François,畢來德,毕来德,畢來德,,,Billeter, Jean-Francois,1
4051,Alastair Ian Johnston,Johnston,Alastair Ian,江忆恩,江忆恩,江憶恩,,,Johnston, Alastair Ian,1
1498,Alastair Iain Johnston,Johnston,Alastair Iain,江憶恩,江忆恩,江憶恩,,,Johnston, Alastair Iain,1
3051,Melvin P. Thatcher,Thatcher,Melvin P.,沙其敏,沙其敏,沙其敏,,,Thatcher, Melvin P.,1
4337,P. Melvin Thatcher,Thatcher,P. Melvin,沙其敏,沙其敏,沙其敏,,,Thatcher, P. Melvin,1
2740,Téa Semelj,Semelj,Téa,沙德亞,沙德亚,沙德亞,,,Semelj, Tea,1
2748,Tea Sernelj,Sernelj,Tea,沙德亞,沙德亚,沙德亞,,,Sernelj, Tea,1
4003,James R. Hightower,Hightower,James R.,海陶玮,海陶玮,海陶瑋,,,Hightower, James R.,1
1249,James Hightower,Hightower,James,海陶瑋,海陶玮,海陶瑋,,,Hightower, James,1
2418,Mingshen Pan,Pan,Mingshen,潘銘燊,潘铭燊,潘銘燊,,,Pan, Mingshen,2
2505,Mingsun Poon,Poon,Mingsun,潘銘燊,潘铭燊,潘銘燊,,,Poon, Mingsun,2
1505,David Jordon,Jordon,David,焦大衛,焦大卫,焦大衛,,,Jordon, David,1
1504,David K. Jordan,Jordan,David K.,焦大衛,焦大卫,焦大衛,,,Jordan, David K.,2
4202,Emerson M.S. Niou,Niou,Emerson M.S.,牛铭实,牛铭实,牛銘實,,,Niou, Emerson M.S.,1
2361,Emerson Niou,Niou,Emerson,牛銘實,牛铭实,牛銘實,,,Niou, Emerson,1
2293,Frederick Wade Mote,Mote,Frederick Wade,牟復禮,牟复礼,牟復禮,,,Mote, Frederick Wade,1
4186,Frederick W. Mote,Mote,Frederick W.,牟复礼,牟复礼,牟復禮,,,Mote, Frederick W.,1
4340,R.G. Tiedemann,Tiedemann,R.G.,狄德满,狄德满,狄德滿,,,Tiedemann, R.G.,1
3074,R. G. Tiedemann,Tiedemann,R. G.,狄德滿,狄德满,狄德滿,,,Tiedemann, R. G.,1
4207,David A. Ownby,Ownby,David A.,王大为,王大为,王大爲,,,Ownby, David A.,1
2404,David Ownby,Ownby,David,王大為,王大为,王大為,,,Ownby, David,1
3291,Richard Wang,Wang,Richard,王崗,王岗,王崗,,,Wang, Richard,2
4379,Gang Wang,Wang,Gang,王崗,王岗,王崗,,,Wang, Gang,1
3250,David Der-Wei Wang,Wang,David Der-Wei,王德威,王德威,王德威,,,Wang, David Der-Wei,1
4377,David Wang,Wang,David,王德威,王德威,王德威,,,Wang, David,1
3252,Edward Wang,Wang,Edward,王晴佳,王晴佳,王晴佳,,,Wang, Edward,1
3288,Q. Edward Wang,Wang,Q. Edward,王晴佳,王晴佳,王晴佳,,,Wang, Q. Edward,2
4384,Jin Wang,Wang,Jin,王瑾,王瑾,王瑾,,,Wang, Jin,1
3271,Jing Wang,Wang,Jing,王瑾,王瑾,王瑾,,,Wang, Jing,1
3303,Yanjun Isabel Wang,Wang,Yanjun Isabel,王艷君,王艳君,王艷君,,,Wang, Yanjun Isabel,1
3266,Isabel Wang,Wang,Isabel,王艷君,王艳君,王艷君,,,Wang, Isabel,1
4381,Gung-wu Wang,Wang,Gung-wu,王賡武,王赓武,王賡武,,,Wang, Gung-wu,1
3259,Gungwu Wang,Wang,Gungwu,王賡武,王赓武,王賡武,,,Wang, Gungwu,1
3753,Gregor Benton,Benton,Gregor,班国瑞,班国瑞,班國瑞,,,Benton , Gregor,1
148,Gregor Benton,Benton,Gregor,班國瑞,班国瑞,班國瑞,,,Benton, Gregor,1
2424,David Pankenier,Pankenier,David,班大為,班大为,班大為,,,Pankenier, David,1
4210,David W. Pankenier,Pankenier,David W.,班大为,班大为,班大爲,,,Pankenier, David W.,1
4285,Anna Shields,Shields,Anna,田安,田安,田安,,,Shields, Anna,1
2794,Anna M. Shields,Shields,Anna M.,田安,田安,田安,,,Shields, Anna M.,1
1133,Barend J. ter Haar,Haar,Barend J. ter,田海,田海,田海,,,Haar, Barend J. ter,1
3977,Barend ter Haar,Haar,Barend ter,田海,田海,田海,,,Haar, Barend ter,1
597,Matthias Christian,Christian,Matthias,田默迪,田默迪,田默迪,,,Christian, Matthias,1
2181,Christian Matthias,Matthias,Christian,田默迪,田默迪,田默迪,,,Matthias, Christian,1
3749,William H. III Baxter,Baxter,William H. III,白一平,白一平,白一平,,,Baxter, William H. III,1
127,Bill Baxter,Baxter,Bill,白一平,白一平,白一平,~ William H. III,,Baxter, Bill,1
233,Frederick W. Brandauer,Brandauer,Frederick W.,白保羅,白保罗,白保羅,,,Brandauer, Frederick W.,2
144,Paul Benedict,Benedict,Paul,白保羅,白保罗,白保羅,,,Benedict, Paul,2
3763,Charles Le Blanc,Blanc,Charles Le,白光华,白光华,白光華,,,Blanc, Charles Le,1
1770,Charles Le Blanc,Le Blanc,Charles,白光華,白光华,白光華,,,Le Blanc, Charles,1
3774,Roswell S. Britton,Britton,Roswell S.,白瑞华,白瑞华,白瑞華,,,Britton, Roswell S.,1
242,Roswell Britton,Britton,Roswell,白瑞華,白瑞华,白瑞華,,,Britton, Roswell,1
3374,Susan Whiting,Whiting,Susan,白素珊,白素珊,白素珊,,,Whiting, Susan,2
234,Susanne Brandtstadter,Brandtstadter,Susanne,白素珊,白素珊,白素珊,,,Brandtstadter, Susanne,2
3746,Tani Barlow,Barlow,Tani,白露,白露,白露,,,Barlow, Tani,1
106,Tani E. Barlow,Barlow,Tani E.,白露,白露,白露,,,Barlow, Tani E.,1
4225,Lucian W. Pye,Pye,Lucian W.,白鲁恂,白鲁恂,白魯恂,,,Pye, Lucian W.,1
4151,W. Pey Lucian,Lucian,W. Pey,白鲁恂,白鲁恂,白魯恂,,,Lucian, W. Pey,1
4151,W. Pey Lucian,Lucian,W. Pey,白鲁恂,白鲁恂,白魯恂,,,Lucian, W. Pey,1
2528,Lucian Wilmot Pye,Pye,Lucian Wilmot,白魯恂,白鲁恂,白魯恂,,,Pye, Lucian Wilmot,1
4310,Josh Stenberg,Stenberg,Josh,石峻山,石峻山,石峻山,,,Stenberg, Josh,1
2919,Joshua Sidney Stenberg,Stenberg,Joshua Sidney,石峻山,石峻山,石峻山,,,Stenberg, Joshua Sidney,1
4322,Kenneth M. Swope,Swope,Kenneth M.,石康,石康,石康,,,Swope, Kenneth M.,1
2989,Kenneth Swope,Swope,Kenneth,石康,石康,石康,,,Swope, Kenneth,1
2917,Hans Steininger,Steininger,Hans,石泰安,石泰安,石泰安,,,Steininger, Hans,1
2913,Rolf A. Stein,Stein,Rolf A.,石泰安,石泰安,石泰安,,,Stein, Rolf A.,2
4353,Jing Yuen Tsu,Tsu,Jing Yuen,石静远,石静远,石靜遠,,,Tsu, Jing Yuen,1
3128,Jing Tsu,Tsu,Jing,石靜遠,石静远,石靜遠,,,Tsu, Jing,1
1607,Terry F. Kleeman,Kleeman,Terry F.,祁泰履,祁泰履,祁泰履,,,Kleeman, Terry F.,1
4065,Terry Kleeman,Kleeman,Terry,祁泰履,祁泰履,祁泰履,,,Kleeman, Terry,1
3850,Pingyi Chu,Chu,Pingyi,祝平一,祝平一,祝平一,,,Chu, Pingyi,1
605,Ping-yi Chu,Chu,Ping-yi,祝平一,祝平一,祝平一,,,Chu, Ping-yi,1
2536,Igor de Rachewiltz,Rachewiltz,Igor de,羅依果,罗依果,羅依果,,,Rachewiltz, Igor de,1
708,Igor De Rachewiltz,De Rachewiltz,Igor,羅依果,罗依果,羅依果,,,De Rachewiltz, Igor,2
4396,Susan Roosevelt Weld,Weld,Susan Roosevelt,罗凤鸣,罗凤鸣,羅鳳鳴,,,Weld, Susan Roosevelt,1
3348,Susan R. Weld,Weld,Susan R.,羅鳳鳴,罗凤鸣,羅鳳鳴,,,Weld, Susan R.,1
2064,Rudolf Löwenthal,Löwenthal,Rudolf,羅文達,罗文达,羅文達,,,Lowenthal, Rudolf,1
2049,Rudolph Loewenthal,Loewenthal,Rudolph,羅文達,罗文达,羅文達,,,Loewenthal, Rudolph,1
876,Lothar von Falkenhausen,Falkenhausen,Lothar von,羅泰,罗泰,羅泰,,,Falkenhausen, Lothar von,2
4369,Lothar Von Falkenhausen,Von Falkenhausen,Lothar,罗泰,罗泰,羅泰,,,Von Falkenhausen, Lothar,1
1123,Edward Mansfield Gunn,Gunn,Edward Mansfield,耿德華,耿德华,耿德華,,,Gunn, Edward Mansfield,1
3975,Edward M. Gunn,Gunn,Edward M.,耿德华,耿德华,耿德華,,,Gunn, Edward M.,1
1351,Baozhu Hu,Hu,Baozhu,胡寶柱,胡宝柱,胡寶柱,,,Hu, Baozhu,1
1349,Anthony Hu,Hu,Anthony,胡寶柱,胡宝柱,胡寶柱,,,Hu, Anthony,1
4033,Theodore D. Huters,Huters,Theodore D.,胡志德,胡志德,胡志德,,,Huters, Theodore D.,1
1417,Theodore Huters,Huters,Theodore,胡志德,胡志德,胡志德,,,Huters, Theodore,1
819,Alexander Eckstein,Eckstein,Alexander,艾伯華,艾伯华,艾伯華,,,Eckstein,Alexander,1
814,Wolfram Eberhard,Eberhard,Wolfram,艾伯華,艾伯华,艾伯華,,,Eberhard, Wolfram,2
3733,Joseph Adler,Adler,Joseph,艾周思,艾周思,艾周思,,,Adler, Joseph,1
5,Joseph A. Adler,Adler,Joseph A.,艾周思,艾周思,艾周思,,,Adler, Joseph A.,1
840,Andrew Eisenberg,Eisenberg,Andrew,艾安迪,艾安迪,艾安迪,,,Eisenberg,Andrew,1
3909,Andrew Eisenberg,Eisenberg,Andrew,艾安迪,艾安迪,艾安迪,,,Eisenberg, Andrew,1
3913,Benjamin A. Elman,Elman,Benjamin A.,艾尔曼,艾尔曼,艾爾曼,,,Elman, Benjamin A.,1
849,Benjamin Elman,Elman,Benjamin,艾爾曼,艾尔曼,艾爾曼,,,Elman, Benjamin,1
3902,R. Randle Edwards,Edwards,R. Randle,艾德华,艾德华,艾德華,,爱德华、爱德华兹,Edwards, R. Randle,1
827,R. Randle Edwards,Edwards,R. Randle,艾德華,艾德华,艾德華,, 愛德華  、 愛德華茲,Edwards,R. Randle,1
3735,Guy S. Alitto,Alitto,Guy S.,艾恺,艾恺,艾愷,,,Alitto, Guy S.,1
18,Guy Salvatore Alitto,Alitto,Guy Salvatore,艾愷,艾恺,艾愷,,,Alitto, Guy Salvatore,1
4038,Robert L. Irick,Irick,Robert L.,艾文博,艾文博,艾文博,,,Irick, Robert L.,1
1434,Robert Lee Irick,Irick,Robert Lee,艾文博,艾文博,艾文博,,,Irick, Robert Lee,1
3917,Mary Erbaugh,Erbaugh,Mary,艾玛丽,艾玛丽,艾瑪麗,,,Erbaugh, Mary,1
858,Mary S. Erbaugh,Erbaugh,Mary S.,艾玛丽,艾玛丽,艾瑪麗,,,Erbaugh, Mary S.,1
4416,Mary C. Wright,Wright,Mary C.,芮玛丽,芮玛丽,芮瑪麗,,,Wright, Mary C.,1
3453,Mary Clabaugh Wright,Wright,Mary Clabaugh,芮瑪麗,芮玛丽,芮瑪麗,,,Wright, Mary Clabaugh,1
2954,Michael Sullivan,Sullivan,Michael,蘇利文,苏利文,蘇利文,,,Sullivan, Michael,2
2953,Jonathan Sullivan,Sullivan,Jonathan,蘇利文,苏利文,蘇利文,,,Sullivan, Jonathan,1
4301,Billy K.L. So,So,Billy K.L.,苏基朗,苏基朗,蘇基朗,,,So, Billy K.L.,1
2863,Kee Long So,So,Kee Long,蘇基朗,苏基朗,蘇基朗,,,So, Kee Long,1
2863,Kee Long So,So,Kee Long,蘇基朗,苏基朗,蘇基朗,,,So, Kee Long,1
2860,Billy So,So,Billy,蘇基朗,苏基朗,蘇基朗,,,So, Billy,1
2872,Dorothy J. Solinger,Solinger,Dorothy J.,蘇黛瑞,苏黛瑞,蘇黛瑞,,,Solinger, Dorothy J.,1
4303,Dorothy Solinger,Solinger,Dorothy,苏黛瑞,苏黛瑞,蘇黛瑞,,,Solinger, Dorothy,1
3176,Steven Van Zoeren,Van Zoeren,Steven,范佐崙,范佐仑,範佐崙,, 范佐仁,Van Zoeren, Steven,1
4364,Steven Van Zoeren,Van Zoeren,Steven,范佐仑,范佐仑,範佐侖,,范佐仁,Van Zoeren, Steven,1
4361,Paul Ven Dyke,Ven Dyke,Paul,范岱克,范岱克,範岱克,,,Ven Dyke, Paul,1
3167,Paul A. Van Dyke,Van Dyke,Paul A.,范岱克,范岱克,範岱克,,,Van Dyke, Paul A.,1
3163,Leonard W J Van der Kuijp,Van der Kuijp,Leonard W J,范德康,范德康,範德康,,,Van der Kuijp, Leonard W J,2
1676,Leonard W. J. van der Kuijp,Kuijp,Leonard W. J. van der,范德康,范德康,範德康,,,Kuijp, Leonard W. J. van der,2
1321,Kung-ch’üan Hsiao,Hsiao,Kung-ch’üan,蕭公權,萧公权,蕭公權,,,Hsiao, Kung-ch’uan,1
4015,Kung-chuan Hsiao,Hsiao,Kung-chuan,萧公权,萧公权,蕭公權,,,Hsiao, Kung-chuan,1
4014,Chi-ching Hsiao,Hsiao,Chi-ching,萧启庆,萧启庆,蕭啓慶,,,Hsiao, Chi-ching,1
1318,Chi-ching Hsiao,Hsiao,Chi-ching,蕭啟慶,萧启庆,蕭啟慶,,,Hsiao, Chi-ching,1
1439,Saša Istenič,Istenič,Saša,薩學東,萨学东,薩學東,,,Istenic, Sasa,1
1640,Saša Istenič Kotar,Kotar,Saša Istenič,薩學東,萨学东,薩學東,,,Kotar, Sasa Istenic,1
3969,David Graff,Graff,David,葛德威,葛德威,葛德威,,,Graff, David,1
1086,David Graff,Graff,David,葛德威,葛德威,葛德威,,,Graff,David,1
3961,Howard Goldblatt,Goldblatt,Howard,葛浩文,葛浩文,葛浩文,,,Goldblatt, Howard,1
1061,Howard Goldblatt,Goldblatt,Howard,葛浩文,葛浩文,葛浩文,,,Goldblatt,Howard,1
1069,Luis O. Gómez,Gómez,Luis O.,葛美茲,葛美兹,葛美茲,,,Gomez,Luis O.,1
3965,Luis O. Gómez,Gómez,Luis O.,葛美兹,葛美兹,葛美茲,,,Gomez, Luis O.,1
3840,Wi-vun Taiffalo Chiung,Chiung,Wi-vun Taiffalo,蒋为文,蒋为文,蔣爲文,,,Chiung, Wi-vun Taiffalo,1
570,Wi-vun Taiffalo Chiung,Chiung,Wi-vun Taiffalo,蔣為文,蒋为文,蔣為文,,,Chiung, Wi-vun Taiffalo,1
4462,Judith Zeitlin,Zeitlin,Judith,蔡九迪,蔡九迪,蔡九迪,,,Zeitlin, Judith,1
3644,Judith T. Zeitlin,Zeitlin,Judith T.,蔡九迪,蔡九迪,蔡九迪,,,Zeitlin, Judith T.,1
3049,Philip Thai,Thai,Philip,蔡駿治,蔡骏治,蔡駿治,,,Thai, Philip,1
4347,Philip Tsai,Tsai,Philip,蔡骏治,蔡骏治,蔡駿治,,,Tsai, Philip,1
1348,Roselyn Hsueh Romano,Hsueh Romano,Roselyn,薛媖月,薛媖月,薛媖月,,,Hsueh Romano, Roselyn,1
2610,Roselyn Hsueh Romano,Romano,Roselyn Hsueh,薛媖月,薛媖月,薛媖月,,,Romano, Roselyn Hsueh,1
1344,Kai-Yu Hsu,Hsu,Kai-Yu,許芥昱,许芥昱,許芥昱,,,Hsu, Kai-Yu,1
4018,Kai-yu Hsu,Hsu,Kai-yu,许芥昱,许芥昱,許芥昱,,,Hsu, Kai-yu,1
1461,Gary Jefferson,Jefferson,Gary,謝千里,谢千里,謝千里,,,Jefferson, Gary,1
4047,Gary H. Jefferson,Jefferson,Gary H.,谢千里,谢千里,謝千里,,,Jefferson, Gary H.,1
