,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,count
4375,Frederic E. Jr. Wakeman,Wakeman,Frederic E. Jr.,魏斐德,魏斐德,魏斐德,,,Wakeman, Frederic E. Jr.,1
3224,Frederic Evans Wakeman,Wakeman,Frederic Evans,魏斐德,魏斐德,魏斐德,,,Wakeman, Frederic Evans,1
2595,David M. Robinson,Robinson,David M.,魯大維,鲁大维,魯大維,,,Robinson, David M.,1
4243,David Robinson,Robinson,David,鲁大维,鲁大维,魯大維,,,Robinson, David,1
110,Arthur Doak Barnett,Barnett,Arthur Doak,鮑大可,鲍大可,鮑大可,,,Barnett, Arthur Doak,1
3747,Doak Barnett,Barnett,Doak,鲍大可,鲍大可,鮑大可,,,Barnett, Doak,1
217,José Eugenio Borao Mateo,Borao Mateo,José Eugenio,鮑曉鷗,鲍晓鸥,鮑曉鷗,,,Borao Mateo, Jose Eugenio,1
2170,José Eugenio Borao Mateo,Mateo,José Eugenio Borao,鮑曉鷗,鲍晓鸥,鮑曉鷗,,,Mateo, Jose Eugenio Borao,1
211,Judith Magee Boltz,Boltz,Judith Magee,鮑菊隱,鲍菊隐,鮑菊隱,,,Boltz, Judith Magee,1
3765,Judith Boltz,Boltz,Judith,鲍菊隐,鲍菊隐,鮑菊隱,,,Boltz, Judith,1
4177,Steven Miles,Miles,Steven,麦哲维,麦哲维,麥哲維,,,Miles, Steven,1
2250,Steven B. Miles,Miles,Steven B.,麥哲維,麦哲维,麥哲維,,,Miles, Steven B.,1
1379,Philip Chung-chih Huang,Huang,Philip Chung-chih,黃宗智,黄宗智,黃宗智,,,Huang, Philip Chung-chih,1
4025,Philip Huang,Huang,Philip,黄宗智,黄宗智,黃宗智,,,Huang, Philip,1
4023,James C.T. Huang,Huang,James C.T.,黄正德,黄正德,黃正德,,,Huang, James C.T.,1
1372,C.T. James Huang,Huang,C.T. James,黃正德,黄正德,黃正德,,,Huang, C.T. James,1
4196,Andrew Nathan,Nathan,Andrew,黎安友,黎安友,黎安友,,,Nathan, Andrew,1
2331,Andrew James Nathan,Nathan,Andrew James,黎安友,黎安友,黎安友,,,Nathan, Andrew James,1
672,Mark Csikszentmihalyi,Csikszentmihalyi,Mark,齊思敏,齐思敏,齊思敏,,,Csikszentmihalyi, Mark,1
3873,Mark A. Csikszentmihalyi,Csikszentmihalyi,Mark A.,齐思敏,齐思敏,齊思敏,,,Csikszentmihalyi, Mark A.,1
