Bianco， Lucien,畢仰高
Bichler， Lorenz,畢羅然
Bichurin， Nikita Yakovlevich,比丘林
Bickers， Robert,畢可思
Bidlack， Bede,畢智山
Bieg， Lutz,畢格
Bielenstein， Hans,畢漢思
Biggerstaff， Knight,畢乃德
Billeter， Jean-François,畢來德
Billioud， Sébastien,畢遊塞
Bingaman， Eveline,張慧娜
Bingham， Woodbridge,賓板橋
Bingenheimer， Marcus,馬德偉
Bingham， Woodbridge,賓板橋
Biot， Édouard Constant,畢甌、畢歐
Biran， Michal,彭曉燕
Birch， Cyril,白芝
Birge， Bettine,柏清韵
Birtwistle， Andrew,張宏凱
Bisson， Thomas Arthur,畢恩來
Bizais-Lillig， Marie,畢茉莉
Blader， Susan,白素貞
Blahota， Martin,馬金
Blake， Fred,柏樺
Blakeley， Barry B.,蒲百瑞
Blasko， Dennis J.,卜思高
Blau， Rosie,白玫
Blinova， Olga,郭靜云
Bloom， Phillip E.,卜向榮
Blumenthal， Dan,卜大年
Blussé， Leonard,包樂史
Bøckman， Harald,勃克曼
Bodde， Derk,卜德
Boden， Jeanne,包德貞
Bodman， Nicholas C.,包擬古
Bodolec， Caroline,羅琳
Boittout， Joachim,白錦麟
Børdahl， Vibeke,易德波
Bornemann， Fritz,鮑乃曼
Boka， Janos,白正諾
Bokenkamp， Stephen R.,柏夷
Bol， Peter K.,包弼德
Boltz， Judith Magee,鮑菊隱
Boltz， William G.,鮑則嶽
Bonk， James,博哲銘
Bonnin， Michel,潘鳴嘯
Boodberg， Peter A.,卜弼德
Boorman， Howard Lyon,包華德
Borao Mateo， José Eugenio,鮑曉鷗
Borchers， Jonas,喬宇軒
Bordeleau， Eric,泊硯
Borchigud， Wurlig,烏爾麗歌
Bosco， Joseph,林舟
Bossen， Laurel,寶森
Bossler， Beverly,柏文莉
Bottéro， Françoise,蒲芳莎
Botti， Lucrezia,白璐璐
Boulin， Myriam,米蓮
Bourgerie， Dana,白傑理
Bozzato， Fabrizio,杜允士
Braester， Yomi,柏右銘
Brahm， Laurence,龍安志
Braig， Stefan,柏德方
Brancaccio， Pia,龐琵雅
Brandauer， Frederick W.,白保羅
Brandtstadter， Susanne,白素珊
Branner， David,林德威
Brashier， Kenneth E.,白瑞旭
Bräuer， Stephanie,包孝芬
Bray， Francesca,白馥蘭
Breuer， Rüdiger,柏睿晨
Brezzi， Alessandra,白艾麗
Bridgman， Elijah Coleman,裨治文
Britton， Roswell,白瑞華
Brødsgaard， Kjeld Erik,柏思德
Brokaw， Cynthia,包筠雅
Brook， Timothy,卜正民
Brose， Benjamin,本博澤
Brown， Jeremy,周傑榮
Brown， Melissa J.,鮑梅立
Brown， Miranda,董慕達
Brown， Ronald C.,包倫仁
Brown， Shana,宗小娜
Brown， William N.,潘維廉
Brownell， Susan,包蘇珊
Broy， Nikolas,百可思
Bruno， Cosima,米娜
Bruya， Brian,柏嘯虎
Bryant， Daniel,白潤德
Bryant， Lei Ouyang,歐陽小麗
Buchta， Katrin,薄琳
Buck， Daniel,卜允中
Buck， David D.,鮑德威
Budeanu， Andreea Ioana,柏安安
Bujard， Marianne,呂敏
Bulling， Anneliese,卜愛玲
Bunk， James,博哲銘
Buoye， Thomas,步德茂
Burger， Werner,布威納
Burgess， Meryl Joy,梅麗爾
Burnett， Katherine,陶幽庭
Burns， John Pond,卜約翰
Burov， Vladilen Gregorievich,布羅夫
Burton-Rose， Daniel,羅丹寧
Busch， Heinrich,卜恩禮
Bush， Richard,卜睿哲
Bushell， Stephen W.,布邵爾
Buslig， Szonja,宋妮雅
Bussotti， Michela,米蓋拉
Butterfield， Fox,包德甫
Buxbaum， David C.,包恆
Byrne， Christopher,白空山
,
C,
Cabestan， Jean-Pierre,高敬文
