,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数
4041,Frederick W. Brandauer,Brandauer,Frederick W.,白保罗,白保罗,白保羅,0,0,Brandauer, Frederick W.,0.0,0.0,0,0,20
4058,José Eugenio Borao Mateo,Borao Mateo,José Eugenio,鮑曉鷗,鲍晓鸥,鮑曉鷗,0,0,Borao Mateo, Jose Eugenio,0.0,0.0,0,0,10
4059,Howard L. Boorman,Boorman,Howard L.,包华德,包华德,包華德,0,0,Boorman, Howard L.,0.0,0.0,0,0,10
4060,Howard Lyon Boorman,Boorman,Howard Lyon,包華德,包华德,包華德,0,0,Boorman, Howard Lyon,0.0,0.0,0,0,10
4061,Peter A. Boodberg,Boodberg,Peter A.,卜弼德,卜弼德,卜弼德,0,0,Boodberg, Peter A.,0.0,0.0,0,0,10
4062,Peter A. Boodberg,Boodberg,Peter A.,蔔弼德,卜弼德,蔔弼德,0,0,Boodberg, Peter A.,0.0,0.0,0,0,10
4064,James Bonk,Bonk,James,博哲銘,博哲铭,博哲銘,0,0,Bonk, James,0.0,0.0,0,0,10
4067,Bill Boltz,Boltz,Bill,鲍则岳,鲍则岳,鮑則嶽,0,0,Boltz,Bill,0.0,0.0,0,0,10
4068,Judith Boltz,Boltz,Judith,鲍菊隐,鲍菊隐,鮑菊隱,0,0,Boltz, Judith,0.0,0.0,0,0,10
4069,Judith Magee Boltz,Boltz,Judith Magee,鮑菊隱,鲍菊隐,鮑菊隱,0,0,Boltz, Judith Magee,0.0,0.0,0,0,10
4070,William G. Boltz,Boltz,William G.,鲍则岳,鲍则岳,鮑則嶽,0,0,Boltz, William G.,0.0,0.0,0,0,20
4071,William G. Boltz,Boltz,William G.,鲍则岳,鲍则岳,鮑則嶽,0,0,Boltz,William G.,0.0,0.0,0,0,12
4073,Stephen Bokenkamp,Bokenkamp,Stephen,柏夷,柏夷,柏夷,0,0,Bokenkamp, Stephen,0.0,0.0,0,0,10
4074,Stephen R. Bokenkamp,Bokenkamp,Stephen R.,柏夷,柏夷,柏夷,0,0,Bokenkamp, Stephen R.,0.0,0.0,0,0,10
4079,Derk Bodde,Bodde,Derk,卜德,卜德,蔔德,0,0,Bodde,Derk,0.0,0.0,0,0,10
4080,Derk Bodde,Bodde,Derk,蔔德,卜德,蔔德,0,0,Bodde, Derk,0.0,0.0,0,0,10
4085,Olga Blinova,Blinova,Olga,郭靜雲,郭静云,郭靜雲,0,0,Blinova, Olga,0.0,0.0,0,0,10
4088,Charles Le Blanc,Blanc,Charles Le,白光华,白光华,白光華,0,0,Blanc, Charles Le,0.0,0.0,0,0,10
4104,Jean François Billeter,Billeter,Jean François,毕来德,毕来德,畢來德,0,0,Billeter, Jean Francois,0.0,0.0,0,0,10
4105,Jean-François Billeter,Billeter,Jean-François,畢來德,毕来德,畢來德,0,0,Billeter, Jean-Francois,0.0,0.0,0,0,10
4122,John Berthrong,Berthrong,John,白诗朗,白诗朗,白詩朗,0,0,Berthrong, John,0.0,0.0,0,0,20
4123,John Berthrong,Berthrong,John,白诗朗,白诗朗,白詩朗,0,0,Berthrong,John,0.0,0.0,0,0,10
4129,Kathry Bernhardt,Bernhardt,Kathry,白凯,白凯,白凱,0,0,Bernhardt, Kathry,0.0,0.0,0,0,10
4130,Kathryn Bernhardt,Bernhardt,Kathryn,白凱,白凯,白凱,0,0,Bernhardt, Kathryn,0.0,0.0,0,0,10
4135,Judith Berling,Berling,Judith,柏士隱,柏士隐,柏士隱,0,0,Berling, Judith,0.0,0.0,0,0,10
4136,Alan Berkowitz,Berkowitz,Alan,柏士隐,柏士隐,柏士隱,0,0,Berkowitz, Alan,0.0,0.0,0,0,20
4142,Gregor Benton,Benton,Gregor,班国瑞,班国瑞,班國瑞,0,0,Benton , Gregor,0.0,0.0,0,0,10
4143,Gregor Benton,Benton,Gregor,班國瑞,班国瑞,班國瑞,0,0,Benton, Gregor,0.0,0.0,0,0,10
4144,Nielsen Bent,Bent,Nielsen,尼尔森,尼尔森,尼爾森,0,0,Bent, Nielsen,0.0,0.0,0,0,10
4146,Gwen P. Bennett,Bennett,Gwen P.,关玉琳,关玉琳,關玉琳,0,0,Bennett, Gwen P.,0.0,0.0,0,0,20
4147,James Benn,Benn,James,貝劍銘,贝剑铭,貝劍銘,0,0,Benn, James,0.0,0.0,0,0,10
4148,James A. Benn,Benn,James A.,贝剑铭,贝剑铭,貝劍銘,0,0,Benn, James A.,0.0,0.0,0,0,10
4149,Paul Benedict,Benedict,Paul,白保罗,白保罗,白保羅,0,0,Benedict, Paul,0.0,0.0,0,0,20
4167,Bill Baxter,Baxter,Bill,白一平,白一平,白一平,Bill Baxter William H. III,0,Baxter, Bill,0.0,0.0,0,0,10
4169,William H. Baxter,Baxter,William H.,白一平,白一平,白一平,0,0,Baxter,William H.,1949.0,0.0,0,0,10
4170,William H. III Baxter,Baxter,William H. III,白一平,白一平,白一平,0,0,Baxter, William H. III,0.0,0.0,0,0,10
4186,Arthur Doak Barnett,Barnett,Arthur Doak,鮑大可,鲍大可,鮑大可,0,0,Barnett, Arthur Doak,0.0,0.0,0,0,10
4187,Doak Barnett,Barnett,Doak,鲍大可,鲍大可,鮑大可,0,0,Barnett, Doak,0.0,0.0,0,0,10
4192,Tani Barlow,Barlow,Tani,白露,白露,白露,0,0,Barlow, Tani,0.0,0.0,0,0,10
4193,Tani E. Barlow,Barlow,Tani E.,白露,白露,白露,0,0,Barlow, Tani E.,0.0,0.0,0,0,10
4194,Platzerova Barbora,Barbora,Platzerova,林百合,林百合,林百合,0,0,Barbora, Platzerova,0.0,0.0,0,0,10
4211,Timothy Baker,Baker,Timothy,貝克定,贝克定,貝克定,0,0,Baker, Timothy,0.0,0.0,0,0,10
4212,Timothy D. Baker,Baker,Timothy D.,贝克定,贝克定,貝克定,0,0,Baker, Timothy D.,0.0,0.0,0,0,10
4242,David Arkush,Arkush,David,欧达伟,欧达伟,歐達偉,0,0,Arkush, David,0.0,0.0,0,0,10
4243,R. David Arkush,Arkush,R. David,歐達偉,欧达伟,歐達偉,0,0,Arkush, R. David,0.0,0.0,0,0,10
4249,Stephen Angle,Angle,Stephen,安靖如,安靖如,安靖如,0,0,Angle, Stephen,0.0,0.0,0,0,10
4250,Stephen C. Angle,Angle,Stephen C.,安靖如,安靖如,安靖如,0,0,Angle, Stephen C.,0.0,0.0,0,0,10
4251,Stephen C. Angle,Angle,Stephen C.,安靖如,安靖如,安靖如,0,0,Angle,Stephen C.,0.0,0.0,0,0,12
4254,Julia Andrews,Andrews,Julia,安雅兰,安雅兰,安雅蘭,0,0,Andrews, Julia,0.0,0.0,0,0,10
4255,Julia F. Andrews,Andrews,Julia F.,安雅蘭,安雅兰,安雅蘭,0,0,Andrews, Julia F.,0.0,0.0,0,0,10
4257,Attilio Andreini,Andreini,Attilio,艾帝,艾帝,艾帝,0,0,Andreini, Attilio,0.0,0.0,0,0,10
4258,Attilio Andreini,Andreini,Attilio,艾帝,艾帝,艾帝,0,0,Andreini,Attilio,0.0,0.0,0,0,10
4261,Tonio Andrane,Andrane,Tonio,欧阳泰,欧阳泰,歐陽泰,0,0,Andrane, Tonio,0.0,0.0,0,0,10
4262,Tonio Andrade,Andrade,Tonio,歐陽泰,欧阳泰,歐陽泰,0,0,Andrade, Tonio,0.0,0.0,0,0,10
4271,Roger T. Ames,Ames,Roger T.,安乐哲,安乐哲,安樂哲,0,0,Ames, Roger T.,0.0,0.0,0,0,20
4272,Roger T. Ames,Ames,Roger T.,安乐哲,安乐哲,安樂哲,0,0,Ames,Roger T.,1947.0,0.0,0,0,12
4284,Sarah Allan,Allan,Sarah,艾兰,艾兰,艾蘭,0,0,Allan, Sarah,0.0,0.0,0,0,20
4285,Sarah Allan,Allan,Sarah,艾兰,艾兰,艾蘭,0,0,Allan,Sarah,1945.0,0.0,0,0,12
4286,Guy S. Alitto,Alitto,Guy S.,艾恺,艾恺,艾愷,0,0,Alitto, Guy S.,0.0,0.0,0,0,10
4287,Guy Salvatore Alitto,Alitto,Guy Salvatore,艾愷,艾恺,艾愷,0,0,Alitto, Guy Salvatore,0.0,0.0,0,0,10
4297,Joseph Adler,Adler,Joseph,艾周思,艾周思,艾周思,0,0,Adler, Joseph,0.0,0.0,0,0,10
4298,Joseph A. Adler,Adler,Joseph A.,艾周思,艾周思,艾周思,0,0,Adler, Joseph A.,0.0,0.0,0,0,10
4304,Oded Abt,Abt,Oded,歐克德,欧克德,歐克德,0,0,Abt, Oded,0.0,0.0,0,0,10
