,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数
607,Lothar Von Falkenhausen,Von Falkenhausen,Lothar,罗泰,罗泰,羅泰,0,0,Von Falkenhausen, Lothar,0.0,0.0,0,0,10
608,Lothar von Falkenhausen,von Falkenhausen,Lothar,罗泰,罗泰,羅泰,0,0,von Falkenhausen,Lothar,0.0,0.0,0,0,12
612,Hans Ulrich Vogel,Vogel,Hans Ulrich,傅漢思,傅汉思,傅漢思,0,0,Vogel, Hans Ulrich,0.0,0.0,0,0,10
620,Richard Vinograd,Vinograd,Richard,文以誠,文以诚,文以誠,0,0,Vinograd, Richard,0.0,0.0,0,0,10
621,Richard E. Vinograd,Vinograd,Richard E.,文以诚,文以诚,文以誠,0,0,Vinograd, Richard E.,0.0,0.0,0,0,10
637,Paul Ven Dyke,Ven Dyke,Paul,范岱克,范岱克,範岱克,0,0,Ven Dyke, Paul,0.0,0.0,0,0,10
642,Leon Vandermeersch,Vandermeersch,Leon,汪德迈,汪德迈,汪德邁,0,0,Vandermeersch, Leon,0.0,0.0,0,0,20
643,Leon Vandermeersch,Vandermeersch,Leon,汪德迈,汪德迈,汪德邁,0,0,Vandermeersch,Leon,0.0,0.0,0,0,10
647,Bryan Van Norden,Van Norden,Bryan,萬百安,万百安,萬百安,0,0,Van Norden, Bryan,0.0,0.0,0,0,10
648,Bryan W. Van Norden,Van Norden,Bryan W.,万百安,万百安,萬百安,0,0,Van Norden, Bryan W.,0.0,0.0,0,0,10
649,Bryan W. van Norden,van Norden,Bryan W.,万百安,万百安,萬百安,0,0,van Norden,Bryan W.,0.0,0.0,0,0,12
653,Hans Van Gulik,Van Gulik,Hans,高羅佩,高罗佩,高羅佩,0,0,Van Gulik, Hans,0.0,0.0,0,0,10
654,Robert Hans van Gulik,van Gulik,Robert Hans,高罗佩,高罗佩,高羅佩,0,0,van Gulik,Robert Hans,1910.0,1967.0,荷兰,《大唐狄公案》,10
656,Hans van Ess,van Ess,Hans,叶翰,叶翰,葉翰,0,0,van Ess,Hans,1962.0,0.0,德国,0,12
657,Hans Van Ess,Van Ess,Hans,葉翰,叶翰,葉翰,0,0,Van Ess, Hans,0.0,0.0,0,0,10
659,Paul A. Van Dyke,Van Dyke,Paul A.,範岱克,范岱克,範岱克,0,0,Van Dyke, Paul A.,0.0,0.0,0,0,10
663,Leonard W J Van der Kuijp,Van der Kuijp,Leonard W J,范德康,范德康,範德康,0,0,Van der Kuijp, Leonard W J,0.0,0.0,0,0,10
664,Leonard W J Van der Kuijp,Van der Kuijp,Leonard W J,范德康,范德康,范德康,0,0,Van der Kuijp, Leonard W J,0.0,0.0,0,0,10
678,Paul Unschuld,Unschuld,Paul,文樹德,文树德,文樹德,0,0,Unschuld, Paul,0.0,0.0,0,0,10
679,Paul Ulrich Unschuld,Unschuld,Paul Ulrich,文树德,文树德,文樹德,0,0,Unschuld, Paul Ulrich,0.0,0.0,0,0,10
694,Ching-I Tu,Tu,Ching-I,涂经诒,涂经诒,塗經詒,0,0,Tu,Ching-I,1935.0,0.0,美国华裔,0,10
696,Ching-I Tu,Tu,Ching-I,塗經詒,涂经诒,塗經詒,0,0,Tu, Ching-I,0.0,0.0,0,0,10
698,Lien-che Tu,Tu,Lien-che,杜联喆,杜联喆,杜聯喆,0,0,Tu, Lien-che,0.0,0.0,0,0,10
699,Lien-che Tu,Tu,Lien-che,杜聯喆,杜联喆,杜聯喆,0,0,Tu,Lien-che,0.0,0.0,0,0,10
700,Wei-ming Tu,Tu,Wei-ming,杜维明,杜维明,杜維明,0,0,Tu, Wei-ming,0.0,0.0,0,0,20
701,Wei-ming Tu,Tu,Wei-ming,杜维明,杜维明,杜維明,0,0,Tu,Wei-ming,1940.0,0.0,美国华裔,0,10
705,Jing Tsu,Tsu,Jing,石靜遠,石静远,石靜遠,0,0,Tsu, Jing,0.0,0.0,0,0,10
706,Jing Yuen Tsu,Tsu,Jing Yuen,石静远,石静远,石靜遠,0,0,Tsu, Jing Yuen,0.0,0.0,0,0,10
712,Tsuen-hsuin Tsien,Tsien,Tsuen-hsuin,钱存训,钱存训,錢存訓,0,0,Tsien, Tsuen-hsuin,0.0,0.0,0,0,10
713,Tsuen-Hsuin Tsien,Tsien,Tsuen-Hsuin,钱存训,钱存训,錢存訓,0,0,Tsien,Tsuen-Hsuin,1910.0,2015.0,美籍华裔,0,10
714,Tsuen-Hsuin Tsien,Tsien,Tsuen-Hsuin,錢存訓,钱存训,錢存訓,0,0,Tsien, Tsuen-Hsuin,0.0,0.0,0,0,10
726,Pen-yeh Tsao,Tsao,Pen-yeh,曹本冶,曹本冶,曹本冶,0,0,Tsao, Pen-yeh,0.0,0.0,0,0,10
727,Pen-yeh Tsao,Tsao,Pen-yeh,曹本冶,曹本冶,曹本冶,0,0,Tsao,Pen-yeh,0.0,0.0,0,0,10
735,Philip Tsai,Tsai,Philip,蔡骏治,蔡骏治,蔡駿治,0,0,Tsai, Philip,0.0,0.0,0,0,10
766,Hoyt Tillman,Tillman,Hoyt,田浩,田浩,田浩,0,0,Tillman,Hoyt,1944.0,0.0,0,0,10
767,Hoyt C. Tillman,Tillman,Hoyt C.,田浩,田浩,田浩,0,0,Tillman, Hoyt C.,0.0,0.0,0,0,10
772,R. G. Tiedemann,Tiedemann,R. G.,狄德滿,狄德满,狄德滿,0,0,Tiedemann, R. G.,0.0,0.0,0,0,10
773,R.G. Tiedemann,Tiedemann,R.G.,狄德满,狄德满,狄德滿,0,0,Tiedemann, R.G.,0.0,0.0,0,0,10
795,Melvin P. Thatcher,Thatcher,Melvin P.,沙其敏,沙其敏,沙其敏,0,0,Thatcher, Melvin P.,0.0,0.0,0,0,10
796,P. Melvin Thatcher,Thatcher,P. Melvin,沙其敏,沙其敏,沙其敏,0,0,Thatcher, P. Melvin,0.0,0.0,0,0,10
798,Philip Thai,Thai,Philip,蔡駿治,蔡骏治,蔡駿治,0,0,Thai, Philip,0.0,0.0,0,0,10
824,Jing-shen Tao,Tao,Jing-shen,陶晉生,陶晋生,陶晉生,0,0,Tao, Jing-shen,0.0,0.0,0,0,10
825,Jing-shen Tao,Tao,Jing-shen,陶晉生,陶晋生,陶晉生,0,0,Tao,Jing-shen,0.0,0.0,0,0,10
849,Kwok-Kan Tam,Tam,Kwok-Kan,谭国根,谭国根,譚國根,0,0,Tam, Kwok-Kan,0.0,0.0,0,0,10
850,Kwok-kan Tam,Tam,Kwok-kan,譚國根,谭国根,譚國根,0,0,Tam, Kwok-kan,0.0,0.0,0,0,10
853,Kenichi Takashima,Takashima,Kenichi,高嶋谦一,高嶋谦一,高嶋謙一,0,0,Takashima, Kenichi,0.0,0.0,0,0,10
854,Ken-ichi Takashima,Takashima,Ken-ichi,高嶋謙一,高嶋谦一,高嶋謙一,0,0,Takashima, Ken-ichi,0.0,0.0,0,0,10
864,Kenneth Swope,Swope,Kenneth,石康,石康,石康,0,0,Swope, Kenneth,0.0,0.0,0,0,10
865,Kenneth M. Swope,Swope,Kenneth M.,石康,石康,石康,0,0,Swope, Kenneth M.,0.0,0.0,0,0,10
888,Kang-i Sun,Sun,Kang-i,孙康宜,孙康宜,孫康宜, Kang-i Sun Chang,0,Sun, Kang-i,0.0,0.0,0,0,20
898,Yan Sun,Sun,Yan,孙岩,孙岩,孫巖,0,0,Sun, Yan,0.0,0.0,0,0,10
899,Yan Sun,Sun,Yan,孫岩,孙岩,孫岩,0,0,Sun, Yan,0.0,0.0,0,0,10
903,Jonathan Sullivan,Sullivan,Jonathan,蘇利文,苏利文,蘇利文,0,0,Sullivan, Jonathan,0.0,0.0,0,0,10
904,Michael Sullivan,Sullivan,Michael,苏利文,苏利文,蘇利文,0,0,Sullivan, Michael,0.0,0.0,0,0,20
939,Josh Stenberg,Stenberg,Josh,石峻山,石峻山,石峻山,0,0,Stenberg, Josh,0.0,0.0,0,0,10
940,Joshua Sidney Stenberg,Stenberg,Joshua Sidney,石峻山,石峻山,石峻山,0,0,Stenberg, Joshua Sidney,0.0,0.0,0,0,10
949,Kristin Stapleton,Stapleton,Kristin,司昆仑,司昆仑,司崑崙,0,0,Stapleton, Kristin,0.0,0.0,0,0,20
950,Kristin Stapleton,Stapleton,Kristin,司昆侖,司昆仑,司昆侖,0,0,Stapleton, Kristin,0.0,0.0,0,0,10
962,Jonathan D. Spence,Spence,Jonathan D.,史景迁,史景迁,史景遷,0,0,Spence, Jonathan D.,0.0,0.0,0,0,10
963,Jonathan D. Spence,Spence,Jonathan D.,史景迁,史景迁,史景遷,0,0,Spence,Jonathan D.,0.0,0.0,0,0,10
964,Jonathan Dermot Spence,Spence,Jonathan Dermot,史景遷,史景迁,史景遷,0,0,Spence, Jonathan Dermot,0.0,0.0,0,0,10
979,weijie Song,Song,weijie,宋伟杰,宋伟杰,宋偉傑,0,0,Song, weijie,0.0,0.0,0,0,10
980,Weijie Song,Song,Weijie,宋偉傑,宋伟杰,宋偉傑,0,0,Song, Weijie,0.0,0.0,0,0,10
984,Debora Sommer,Sommer,Debora,司马黛兰,司马黛兰,司馬黛蘭,0,0,Sommer,Debora,0.0,0.0,0,0,10
985,Deborah A. Sommer,Sommer,Deborah A.,司馬黛蘭,司马黛兰,司馬黛蘭,0,0,Sommer, Deborah A.,0.0,0.0,0,0,10
987,Dorothy Solinger,Solinger,Dorothy,苏黛瑞,苏黛瑞,蘇黛瑞,0,0,Solinger, Dorothy,0.0,0.0,0,0,10
988,Dorothy J. Solinger,Solinger,Dorothy J.,蘇黛瑞,苏黛瑞,蘇黛瑞,0,0,Solinger, Dorothy J.,0.0,0.0,0,0,10
999,Billy So,So,Billy,蘇基朗,苏基朗,蘇基朗,0,0,So, Billy,0.0,0.0,0,0,10
1000,Billy K.L. So,So,Billy K.L.,苏基朗,苏基朗,蘇基朗,0,0,So, Billy K.L.,0.0,0.0,0,0,10
1004,Kee Long So,So,Kee Long,蘇基朗,苏基朗,蘇基朗,0,0,So, Kee Long,0.0,0.0,0,0,10
1007,Arthur H. Smith,Smith,Arthur H.,明恩溥,明恩溥,明恩溥,0,0,Smith, Arthur H.,0.0,0.0,0,0,10
1008,Arthur Henderson Smith,Smith,Arthur Henderson,明恩溥,明恩溥,明恩溥,0,0,Smith, Arthur Henderson,0.0,0.0,0,0,10
1011,Kidder Smith,Smith,Kidder,苏德恺,苏德恺,蘇德愷,0,0,Smith, Kidder,0.0,0.0,0,0,20
1012,Kidder Smith,Smith,Kidder,苏德恺,苏德恺,蘇德愷,0,0,Smith,Kidder,1944.0,0.0,0,中国先秦史。,10
1014,Richard Smith,Smith,Richard,司马富,司马富,司馬富,0,0,Smith, Richard,0.0,0.0,0,0,10
1015,Richard Joseph Smith,Smith,Richard Joseph,司馬富,司马富,司馬富,0,0,Smith, Richard Joseph,0.0,0.0,0,0,10
1020,Edward Slingerland,Slingerland,Edward,森舸澜,森舸澜,森舸瀾,0,0,Slingerland,Edward,0.0,0.0,0,0,12
1021,Edward Slingerland,Slingerland,Edward,森舸瀾,森舸澜,森舸瀾,0,0,Slingerland, Edward,0.0,0.0,0,0,10
1025,G. William Skinner,Skinner,G. William,施堅雅,施坚雅,施堅雅,0,0,Skinner, G. William,0.0,0.0,0,0,10
1026,G.William Skinner,Skinner,G.William,施坚雅,施坚雅,施堅雅,0,0,Skinner, G.William,0.0,0.0,0,0,10
1046,Patricia Sieber,Sieber,Patricia,夏頌,夏颂,夏頌,0,0,Sieber, Patricia,0.0,0.0,0,0,10
1047,Patricia A. Sieber,Sieber,Patricia A.,夏颂,夏颂,夏頌,0,0,Sieber, Patricia A.,0.0,0.0,0,0,10
1053,Kwong-loi Shun,Shun,Kwong-loi,信广来,信广来,信廣來,0,0,Shun, Kwong-loi,0.0,0.0,0,0,20
1054,Kwong-loi Shun,Shun,Kwong-loi,信广来,信广来,信廣來,0,0,Shun,Kwong-loi,1953.0,0.0,华裔,0,12
1061,Sergei M. Shirokogoroff,Shirokogoroff,Sergei M.,史祿國,史禄国,史祿國,0,0,Shirokogoroff, Sergei M.,0.0,0.0,0,0,10
1062,Sergei Mikhailovich Shirokogoroff,Shirokogoroff,Sergei Mikhailovich,史禄国,史禄国,史祿國,0,0,Shirokogoroff, Sergei Mikhailovich,0.0,0.0,0,0,10
1063,Susan Shirk,Shirk,Susan,谢淑丽,谢淑丽,謝淑麗,0,0,Shirk, Susan,0.0,0.0,0,0,10
1064,Susan L. Shirk,Shirk,Susan L.,謝淑麗,谢淑丽,謝淑麗,0,0,Shirk, Susan L.,0.0,0.0,0,0,10
1082,Anna Shields,Shields,Anna,田安,田安,田安,0,0,Shields, Anna,0.0,0.0,0,0,10
1083,Anna M. Shields,Shields,Anna M.,田安,田安,田安,0,0,Shields, Anna M.,0.0,0.0,0,0,10
1123,Edward L. Shaughnessy,Shaughnessy,Edward L.,夏含夷,夏含夷,夏含夷,0,0,Shaughnessy, Edward L.,0.0,0.0,0,0,20
1124,Edward L. Shaughnessy,Shaughnessy,Edward L.,夏含夷,夏含夷,夏含夷,0,0,Shaughnessy,Edward L.,1952.0,0.0,美国,0,10
1140,Paul L.M. Serruys,Serruys,Paul L.M.,司禮義,司礼义,司禮義,0,0,Serruys, Paul L.M.,0.0,0.0,0,0,10
1141,Paul L-M. Serruys,Serruys,Paul L-M.,司礼义,司礼义,司禮義,0,0,Serruys, Paul L-M.,0.0,0.0,0,0,10
1165,Gregory A. Scott,Scott,Gregory A.,史瑞戈,史瑞戈,史瑞戈,0,0,Scott, Gregory A.,0.0,0.0,0,0,10
1166,Gregory Adam Scott,Scott,Gregory Adam,史瑞戈,史瑞戈,史瑞戈,0,0,Scott, Gregory Adam,0.0,0.0,0,0,10
1171,Benjamin I. Schwartz,Schwartz,Benjamin I.,史華慈,史华慈,史華慈,0,0,Schwartz, Benjamin I.,0.0,0.0,0,0,10
1172,Benjamine Schwartz,Schwartz,Benjamine,史华慈,史华慈,史華慈,0,0,Schwartz, Benjamine,0.0,0.0,0,0,10
1178,Axel Schuessler,Schuessler,Axel,許思萊,许思莱,許思萊,0,0,Schuessler, Axel,0.0,0.0,0,0,20
1179,Axel Schuessler,Schuessler,Axel,许思莱,许思莱,許思萊,0,0,Schuessler,Axel,1940.0,0.0,0,ABC Etymological Dictionary of Old Chinese；,10
1193,Helwig Schmidt-Glintzer,Schmidt-Glintzer,Helwig,施寒微,施寒微,施寒微,0,0,Schmidt-Glintzer, Helwig,0.0,0.0,0,0,10
1194,Helwig Schmidt-Glintz,Schmidt-Glintz,Helwig,施寒微,施寒微,施寒微,0,0,Schmidt-Glintz,Helwig,1948.0,0.0,德国,0,10
1205,Kristofer Schipper,Schipper,Kristofer,施舟人,施舟人,施舟人,0,0,Schipper, Kristofer,0.0,0.0,0,0,10
1206,Kristofer Marinus Schipper,Schipper,Kristofer Marinus,施舟人,施舟人,施舟人,0,0,Schipper, Kristofer Marinus,0.0,0.0,0,0,10
1221,David Schaberg,Schaberg,David,史嘉柏,史嘉柏,史嘉柏,0,0,Schaberg, David,0.0,0.0,0,0,20
1222,David Schaberg,Schaberg,David,史嘉柏,史嘉柏,史嘉柏,0,0,Schaberg,David,0.0,0.0,0,0,10
1224,Robert Scalapino,Scalapino,Robert,施乐伯,施乐伯,施樂伯,0,0,Scalapino, Robert,0.0,0.0,0,0,10
1225,Robert Anthony Scalapino,Scalapino,Robert Anthony,施樂伯,施乐伯,施樂伯,0,0,Scalapino, Robert Anthony,0.0,0.0,0,0,10
1264,Bruce Rusk,Rusk,Bruce,阮思德,阮思德,阮思德,0,0,Rusk, Bruce,0.0,0.0,0,0,10
1265,Bruce Rusk,Rusk,Bruce,阮思德,阮思德,阮思德,0,0,Rusk,Bruce,0.0,0.0,加拿大,中国明代文化史。,10
1277,David Roy,Roy,David,芮效卫,芮效卫,芮效衛,0,0,Roy,David,0.0,0.0,0,0,10
1278,David T. Roy,Roy,David T.,芮效卫,芮效卫,芮效衛,0,0,Roy, David T.,0.0,0.0,0,0,20
1283,Harold Roth,Roth,Harold,罗浩,罗浩,羅浩,0,0,Roth,Harold,0.0,0.0,0,0,10
1284,Harold D. Roth,Roth,Harold D.,罗浩,罗浩,羅浩,0,0,Roth, Harold D.,0.0,0.0,0,0,20
1292,Henry Rosemont,Rosemont,Henry,罗思文,罗思文,羅思文,0,0,Rosemont, Henry,0.0,0.0,0,0,20
1293,"Henry Rosemont, Jr.",Rosemont,Henry Rosem,罗思文,罗思文,羅思文,0,0,Rosemont,Henry Rosem,1934.0,2017.0,美国,0,13
1297,Roselyn Hsueh Romano,Romano,Roselyn Hsueh,薛媖月,薛媖月,薛媖月,0,0,Romano, Roselyn Hsueh,0.0,0.0,0,0,10
1299,David Rolston,Rolston,David,陆大伟,陆大伟,陸大偉,0,0,Rolston, David,0.0,0.0,0,0,10
1300,David L. Rolston,Rolston,David L.,陸大偉,陆大伟,陸大偉,0,0,Rolston, David L.,0.0,0.0,0,0,10
1308,Heiner Roetz,Roetz,Heiner,罗哲海,罗哲海,羅哲海,0,0,Roetz,Heiner,0.0,0.0,0,0,10
1309,Heiner Roetz,Roetz,Heiner,羅哲海,罗哲海,羅哲海,0,0,Roetz, Heiner,0.0,0.0,0,0,10
1329,Jeffrey K. Riegel,Riegel,Jeffrey K.,王安国,王安国,王安國,0,0,Riegel, Jeffrey K.,0.0,0.0,0,0,20
1330,Jeffrey K. Riegel,Riegel,Jeffrey K.,王安国,王安国,王安國,0,0,Riegel,Jeffrey K.,1945.0,0.0,0,0,10
1334,Mathias L. Richter,Richter,Mathias L.,李孟涛,李孟涛,李孟濤,0,0,Richter,Mathias L.,0.0,0.0,美国,0,10
1335,Matthias L. Richter,Richter,Matthias L.,李孟涛,李孟涛,李孟濤,0,0,Richter, Matthias L.,0.0,0.0,0,0,20
1339,Matteo Ricci,Ricci,Matteo,利玛窦,利玛窦,利瑪竇,0,0,Ricci,Matteo,0.0,0.0,0,0,10
1340,Matteo Ricci,Ricci,Matteo,利瑪竇,利玛窦,利瑪竇,0,0,Ricci, Matteo,0.0,0.0,0,0,10
1355,Edwin O. Reischauer,Reischauer,Edwin O.,赖世和,赖世和,賴世和,0,0,Reischauer, Edwin O.,0.0,0.0,0,0,10
1356,Edwin Oldfather Reischauer,Reischauer,Edwin Oldfather,賴世和,赖世和,賴世和,0,0,Reischauer, Edwin Oldfather,0.0,0.0,0,0,10
1366,Anne Rebull,Rebull,Anne,安妮,安妮,安妮,0,0,Rebull, Anne,0.0,0.0,0,0,10
1381,Igor de Rachewiltz,Rachewiltz,Igor de,羅依果,罗依果,羅依果,0,0,Rachewiltz, Igor de,0.0,0.0,0,0,10
1390,Cunxun Qian,Qian,Cunxun,钱存训,钱存训,錢存訓,0,0,Qian, Cunxun,0.0,0.0,0,0,10
1396,Lucian W. Pye,Pye,Lucian W.,白鲁恂,白鲁恂,白魯恂,0,0,Pye, Lucian W.,0.0,0.0,0,0,10
1397,Lucian Wilmot Pye,Pye,Lucian Wilmot,白魯恂,白鲁恂,白魯恂,0,0,Pye, Lucian Wilmot,0.0,0.0,0,0,10
1421,Mingsun Poon,Poon,Mingsun,潘銘燊,潘铭燊,潘銘燊,0,0,Poon, Mingsun,0.0,0.0,0,0,20
1427,Timoteus Pokora,Pokora,Timoteus,鲍格洛,鲍格洛,鮑格洛,0,0,Pokora,Timoteus,1928.0,1985.0,捷克,0,10
1428,Timoteus Pokora,Pokora,Timoteus,鮑格洛,鲍格洛,鮑格洛,0,0,Pokora, Timoteus,0.0,0.0,0,0,10
1429,Karl-Heinz Pohl,Pohl,Karl-Heinz,卜松山,卜松山,卜松山,0,0,Pohl, Karl-Heinz,0.0,0.0,0,0,10
1430,Karl-Heinz Pohl,Pohl,Karl-Heinz,蔔松山,卜松山,蔔松山,0,0,Pohl, Karl-Heinz,0.0,0.0,0,0,10
1434,Barbora Platzerová,Platzerová,Barbora,林百合,林百合,林百合,0,0,Platzerova, Barbora,0.0,0.0,0,0,10
1440,Yuri Pines,Pines,Yuri,尤锐,尤锐,尤銳,0,0,Pines, Yuri,0.0,0.0,0,0,20
1441,Yuri Pines,Pines,Yuri,尤锐,尤锐,尤銳,0,0,Pines,Yuri,1964.0,0.0,以色列,0,13
1447,Laurence Picken,Picken,Laurence,毕鉴,毕鉴,畢鑑,0,0,Picken, Laurence,0.0,0.0,0,0,10
1448,Laurence Picken,Picken,Laurence,畢鑒,毕鉴,畢鑒,0,0,Picken, Laurence,0.0,0.0,0,0,10
1451,Rulan Chao Pian,Pian,Rulan Chao,赵如兰,赵如兰,趙如蘭,0,卞赵如兰,Pian, Rulan Chao,0.0,0.0,0,0,20
1452,Steven Phlllips,Phlllips,Steven,费世文,费世文,費世文,0,0,Phlllips, Steven,0.0,0.0,0,0,10
1453,Steven Phillips,Phillips,Steven,費世文,费世文,費世文,0,0,Phillips, Steven,0.0,0.0,0,0,10
1494,E.H. Parker,Parker,E.H.,庄延龄,庄延龄,莊延齡,0,0,Parker, E.H.,0.0,0.0,0,0,10
1495,Edward H. Parker,Parker,Edward H.,莊延齡,庄延龄,莊延齡,0,0,Parker, Edward H.,0.0,0.0,0,0,10
1505,David Pankenier,Pankenier,David,班大為,班大为,班大為,0,0,Pankenier, David,0.0,0.0,0,0,10
1506,David W. Pankenier,Pankenier,David W.,班大为,班大为,班大爲,0,0,Pankenier, David W.,0.0,0.0,0,0,10
1514,Mingshen Pan,Pan,Mingshen,潘铭燊,潘铭燊,潘銘燊,0,0,Pan, Mingshen,0.0,0.0,0,0,20
1525,David Ownby,Ownby,David,王大為,王大为,王大為,0,0,Ownby, David,0.0,0.0,0,0,10
1526,David A. Ownby,Ownby,David A.,王大为,王大为,王大爲,0,0,Ownby, David A.,0.0,0.0,0,0,10
1527,Stephen Owen,Owen,Stephen,宇文所安,宇文所安,宇文所安,0,0,Owen, Stephen,0.0,0.0,0,0,20
1528,Stephen Owen,Owen,Stephen,宇文所安,宇文所安,宇文所安,0,0,Owen,Stephen,1946.0,0.0,0,0,12
1549,Jean Oi,Oi,Jean,戴慕珍,戴慕珍,戴慕珍,0,0,Oi, Jean,0.0,0.0,0,0,10
1550,Jean C. Oi,Oi,Jean C.,戴慕珍,戴慕珍,戴慕珍,0,0,Oi, Jean C.,0.0,0.0,0,0,10
1555,Abt Oded,Oded,Abt,歐克德,欧克德,歐克德,0,0,Oded, Abt,0.0,0.0,0,0,10
1562,Michael Nylan,Nylan,Michael,戴梅可,戴梅可,戴梅可,0,0,Nylan, Michael,0.0,0.0,0,0,20
1563,Michael Nylan,Nylan,Michael,戴梅可,戴梅可,戴梅可,0,0,Nylan,Michael,1950.0,0.0,0,0,13
1571,David S. Nivison,Nivison,David S.,倪德卫,倪德卫,倪德衛,0,0,Nivison, David S.,0.0,0.0,0,0,20
1572,David S. Nivison,Nivison,David S.,倪德卫,倪德卫,倪德衛,0,0,Nivison,David S.,1923.0,2014.0,美国,0,14
1573,Emerson Niou,Niou,Emerson,牛銘實,牛铭实,牛銘實,0,0,Niou, Emerson,0.0,0.0,0,0,10
1574,Emerson M.S. Niou,Niou,Emerson M.S.,牛铭实,牛铭实,牛銘實,0,0,Niou, Emerson M.S.,0.0,0.0,0,0,10
1577,Qiang Ning,Ning,Qiang,宁强,宁强,寧強,0,0,Ning, Qiang,0.0,0.0,0,0,10
1578,Qiang Ning,Ning,Qiang,甯強,宁强,甯強,0,0,Ning, Qiang,0.0,0.0,0,0,10
1580,William H Nienhauser,Nienhauser,William H,倪豪士,倪豪士,倪豪士,0,0,Nienhauser, William H,0.0,0.0,0,0,10
1581,William H. Nienhauser,Nienhauser,William H.,倪豪士,倪豪士,倪豪士,0,0,Nienhauser, William H.,0.0,0.0,0,0,10
1582,William H. Nienhauser,Nienhauser,William H.,倪豪士,倪豪士,倪豪士,0,0,Nienhauser,William H.,0.0,0.0,0,0,10
1583,Bent Nielsen,Nielsen,Bent,尼尔森,尼尔森,尼爾森,0,0,Nielsen, Bent,0.0,0.0,0,0,10
1585,Peter Nickerson,Nickerson,Peter,倪辅乾,倪辅干,倪輔乾,0,0,Nickerson, Peter,0.0,0.0,0,0,10
1586,Peter Nickerson,Nickerson,Peter,倪輔幹,倪辅干,倪輔幹,0,0,Nickerson, Peter,0.0,0.0,0,0,10
1597,On-cho Ng,Ng,On-cho,伍安祖,伍安祖,伍安祖,0,0,Ng, On-cho,0.0,0.0,0,0,20
1598,On-cho Ng,Ng,On-cho,伍安祖,伍安祖,伍安祖,0,0,Ng,On-cho,0.0,0.0,美国,0,10
1606,Joseph Needham,Needham,Joseph,李约瑟,李约瑟,李約瑟,0,0,Needham, Joseph,0.0,0.0,0,0,20
1607,Joseph Needham,Needham,Joseph,李约瑟,李约瑟,李約瑟,0,0,Needham,Joseph,0.0,0.0,0,0,10
1613,Andrew Nathan,Nathan,Andrew,黎安友,黎安友,黎安友,0,0,Nathan, Andrew,0.0,0.0,0,0,10
1614,Andrew James Nathan,Nathan,Andrew James,黎安友,黎安友,黎安友,0,0,Nathan, Andrew James,0.0,0.0,0,0,10
1623,Konan Naitō,Naitō,Konan,內藤湖南,内藤湖南,內藤湖南,0,0,Naito,Konan,0.0,0.0,0,0,10
1627,Ramon H. Myers,Myers,Ramon H.,马若孟,马若孟,馬若孟,0,0,Myers, Ramon H.,0.0,0.0,0,0,10
1628,Ramon Hawley Myers,Myers,Ramon Hawley,馬若孟,马若孟,馬若孟,0,0,Myers, Ramon Hawley,0.0,0.0,0,0,10
1639,Donald J. Munro,Munro,Donald J.,孟旦,孟旦,孟旦,0,0,Munro,Donald J.,0.0,0.0,0,0,10
1640,Donald Jacques Munro,Munro,Donald Jacques,孟旦,孟旦,孟旦,0,0,Munro, Donald Jacques,0.0,0.0,0,0,10
1641,David Mungello,Mungello,David,孟德衛,孟德卫,孟德衛,0,0,Mungello, David,0.0,0.0,0,0,10
1642,David E. Mungello,Mungello,David E.,孟德卫,孟德卫,孟德衛,0,0,Mungello, David E.,0.0,0.0,0,0,10
1660,Frederick W. Mote,Mote,Frederick W.,牟复礼,牟复礼,牟復禮,0,0,Mote, Frederick W.,0.0,0.0,0,0,10
1661,Frederick Wade Mote,Mote,Frederick Wade,牟複禮,牟复礼,牟複禮,0,0,Mote, Frederick Wade,0.0,0.0,0,0,10
1674,Donald J. Monro,Monro,Donald J.,孟旦,孟旦,孟旦,0,0,Monro, Donald J.,0.0,0.0,0,0,10
1707,Steven Miles,Miles,Steven,麦哲维,麦哲维,麥哲維,0,0,Miles, Steven,0.0,0.0,0,0,10
1708,Steven B. Miles,Miles,Steven B.,麥哲維,麦哲维,麥哲維,0,0,Miles, Steven B.,0.0,0.0,0,0,10
1714,Franz H. Michael,Michael,Franz H.,梅谷,梅谷,梅谷,0,0,Michael, Franz H.,0.0,0.0,0,0,10
1715,Franz Henry Michael,Michael,Franz Henry,梅穀,梅谷,梅穀,0,0,Michael, Franz Henry,0.0,0.0,0,0,10
1723,Thomas A. Metzger,Metzger,Thomas A.,墨子刻,墨子刻,墨子刻,0,0,Metzger, Thomas A.,0.0,0.0,0,0,10
1724,Thomas A. Metzger,Metzger,Thomas A.,墨子刻,墨子刻,墨子刻,0,0,Metzger,Thomas A.,0.0,0.0,0,0,10
1729,Thomas Menzger,Menzger,Thomas,墨子刻,墨子刻,墨子刻,0,0,Menzger, Thomas,0.0,0.0,0,0,20
1775,Christian Matthias,Matthias,Christian,田默迪,田默迪,田默迪,0,0,Matthias, Christian,0.0,0.0,0,0,10
1786,José Eugenio Borao Mateo,Mateo,José Eugenio Borao,鮑曉鷗,鲍晓鸥,鮑曉鷗,0,0,Mateo, Jose Eugenio Borao,0.0,0.0,0,0,10
1798,William Martin,Martin,William,丁韙良,丁韪良,丁韙良,0,0,Martin, William,0.0,0.0,0,0,10
