,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数,异文
1733,Pei-yin Lin,Lin,Pei-yin,林姵吟,林姵吟,林姵吟,0,0,Lin, Pei-yin,0,0,0,0,10,
1723,Eric Lin,Lin,Eric,林奇伯,林奇伯,林奇伯,0,0,Lin, Eric,0,0,0,0,10,
1725,J.W. Lin,Lin,J.W.,林若望,林若望,林若望,0,0,Lin, J.W.,0,0,0,0,20,
1735,Shuanglin Lin,Lin,Shuanglin,林双林,林双林,林雙林,0,0,Lin, Shuanglin,0,0,0,0,10,
1736,Shuen-fu Lin,Lin,Shuen-fu,林顺夫,林顺夫,林順夫,0,0,Lin, Shuen-fu,0,0,0,0,20,
1742,Wan-i Lin,Lin,Wan-i,林萬億,林万亿,林萬億,0,0,Lin, Wan-i,0,0,0,0,10,
1744,Wei-chieh Lin,Lin,Wei-chieh,林維傑,林维杰,林維傑,0,0,Lin, Wei-chieh,0,0,0,0,10,
1746,Wei-Yu Lin,Lin,Wei-Yu,林伟瑜,林伟瑜,林偉瑜,0,0,Lin, Wei-Yu,0,0,0,0,20,
1743,Wei-cheng Lin,Lin,Wei-cheng,林偉正,林伟正,林偉正,0,0,Lin, Wei-cheng,0,0,0,0,10,
1745,Wei-Ping Lin,Lin,Wei-Ping,林瑋嬪,林玮嫔,林瑋嬪,0,0,Lin, Wei-Ping,0,0,0,0,10,
1724,Hsiao-ting Lin,Lin,Hsiao-ting,林孝庭,林孝庭,林孝庭,0,0,Lin, Hsiao-ting,0,0,0,0,10,
1734,Shin-rou Lin,Lin,Shin-rou,林欣柔,林欣柔,林欣柔,0,0,Lin, Shin-rou,0,0,0,0,10,
1747,Yi-min Lin,Lin,Yi-min,林义民,林义民,林義民,0,0,Lin, Yi-min,0,0,0,0,20,
3682,Yusheng Lin,Lin,Yusheng,林毓生,林毓生,林毓生,0,0,Lin, Yusheng,0,0,0,0,10,Yu-sheng Lin
1726,Jenny Lin,Lin,Jenny,林珍妮,林珍妮,林珍妮,0,0,Lin, Jenny,0,0,0,0,20,
1720,Chen-Yuan Lin,Lin,Chen-Yuan,林振源,林振源,林振源,0,0,Lin, Chen-Yuan,0,0,0,0,10,
1738,T.H. Jonah Lin,Lin,T.H. Jonah,林宗宏,林宗宏,林宗宏,0,0,Lin, T.H. Jonah,0,0,0,0,20,
1741,Tsung-cheng Lin,Lin,Tsung-cheng,林宗正,林宗正,林宗正,0,0,Lin, Tsung-cheng,0,0,0,0,10,
1740,Tsu-cheng Lin,Lin,Tsu-cheng,林祖誠,林祖诚,林祖誠,0,0,Lin, Tsu-cheng,0,0,0,0,10,
1739,Tso-yu Calvin Lin,Lin,Tso-yu Calvin,林左裕,林左裕,林左裕,0,0,Lin, Tso-yu Calvin,0,0,0,0,10,
1730,Le Lin,Lin,Le,藺樂,蔺乐,藺樂,0,0,Lin, Le,0,0,0,0,10,
1719,Gudula Linck,Linck,Gudula,林可,林可,林可,0,顧鐸琳,Linck, Gudula,0,0,0,0,10,
